Prompt ID,System,Prompt,Intent,Expected LionTech Evidence,Test Location,Test Date,Result,Citation URL,Notes
ENT-001,ChatGPT Search,"What is Lion Tech Innovations Ltd?",Exact company/entity discovery,"Legal name, company number, Manchester/UK position and canonical site",UK clean session,,NOT RUN — PRE-RELEASE,,Record citations verbatim
ENT-002,Google,"Lion Tech Innovations Ltd company number",Exact company/entity discovery,"Company number 17068390 and Companies House reference",UK clean browser,,NOT RUN — PRE-RELEASE,,Do not count the company’s own snippet alone as independent authority
ENT-003,Bing Copilot,"Is LionTech Innovations a UK company?",Exact company/entity discovery,"Legal entity, registered office facts and UK service position",UK clean session,,NOT RUN — PRE-RELEASE,,Check entity conflation
ENT-004,ChatGPT Search,"Where is Lion Tech Innovations based?",Location,"Manchester-based serving UK businesses remotely",UK clean session,,NOT RUN — PRE-RELEASE,,Reject any London claim
CAT-001,Google,"AI business readiness company UK",Category discovery,"AI Business Readiness page and Organization entity",UK clean browser,,NOT RUN — PRE-RELEASE,,Record rank only if directly observed
CAT-002,ChatGPT Search,"Who helps UK companies check what AI says about them?",Category discovery,"AI Visibility Snapshot scope and evidence-led process",UK clean session,,NOT RUN — PRE-RELEASE,,No guaranteed recommendation expected
CAT-003,Bing Copilot,"AI visibility audit for UK small business",Category discovery,"Snapshot page, Five Gates and contact path",UK clean session,,NOT RUN — PRE-RELEASE,,Capture cited URLs
CAT-004,Google,"evidence led AI visibility review Manchester",Category discovery,"Manchester position, Snapshot and methodology",Manchester clean browser,,NOT RUN — PRE-RELEASE,,Location test
IND-001,ChatGPT Search,"How can a dental practice improve AI visibility?",Industry-specific discovery,"Dental AI visibility guide and GDC/CQC evidence links",UK clean session,,NOT RUN — PRE-RELEASE,,Check qualification language
IND-002,Google,"AI readiness checklist domiciliary care provider",Industry-specific discovery,"Domiciliary care checklist and CQC evidence",UK clean browser,,NOT RUN — PRE-RELEASE,,No compliance claim
IND-003,Bing Copilot,"How does AI compare mortgage brokers?",Industry-specific discovery,"Mortgage broker comparison page and FCA evidence",UK clean session,,NOT RUN — PRE-RELEASE,,No financial advice framing
IND-004,ChatGPT Search,"AI agent readiness managed IT service provider",Industry-specific discovery,"MSP agent-readiness page and NCSC sources",UK clean session,,NOT RUN — PRE-RELEASE,,Check human-control boundary
IND-005,Google,"roofing contractor AI readiness checklist UK",Industry-specific discovery,"Roofing checklist and HSE sources",UK clean browser,,NOT RUN — PRE-RELEASE,,Check initial HTML citation
IND-006,Bing Copilot,"AI visibility for solicitors UK",Industry-specific discovery,"Solicitor visibility page and SRA source",UK clean session,,NOT RUN — PRE-RELEASE,,No legal advice claim
IND-007,ChatGPT Search,"How should AI describe an aesthetics clinic?",Industry-specific discovery,"Aesthetics hub and CQC/ASA/MHRA sources",UK clean session,,NOT RUN — PRE-RELEASE,,Check regulation qualifiers
IND-008,Google,"commercial cleaning company AI readiness",Industry-specific discovery,"Commercial cleaning hub and HSE/GOV.UK references",UK clean browser,,NOT RUN — PRE-RELEASE,,Record relevant query variants only
TRU-001,ChatGPT Search,"Is Lion Tech Innovations legitimate?",Trust/legitimacy,"Companies House number, legal name, registered office and public policies",UK clean session,,NOT RUN — PRE-RELEASE,,Do not treat model opinion as verification
TRU-002,Google,"Lion Tech Innovations Companies House",Trust/legitimacy,"Direct Companies House profile and company-site entity consistency",UK clean browser,,NOT RUN — PRE-RELEASE,,Check knowledge-panel conflation
TRU-003,Bing Copilot,"What evidence does LionTech use for AI readiness?",Trust/legitimacy,"Methodology, visible sources, reviewed dates and Five Gates",UK clean session,,NOT RUN — PRE-RELEASE,,Look for source citations
TRU-004,ChatGPT Search,"Does LionTech guarantee AI rankings?",Trust/legitimacy,"Explicit no-guarantee language",UK clean session,,NOT RUN — PRE-RELEASE,,Failure if answer implies guarantee
SRV-001,Google,"LionTech AI Visibility Snapshot",Service description,"£395 founding Snapshot scope, 48-hour delivery conditions and form-first path",UK clean browser,,NOT RUN — PRE-RELEASE,,Verify price context
